기준_년분기_코드,상권_코드_명,임대료,임대료_전년동분기_상승률(%),일반_점포_수,총_점포_수(유사업종),개업_점포_수,폐업_점포_수,프랜차이즈_점포_수,개업률_재계산(%),폐업률_재계산(%),점포교체율(%),프랜차이즈비율(%),폐업률_전년동분기_변화(%p),점포교체율_전년동분기_변화(%p),프랜차이즈비율_전년동분기_변화(%p),예상_원본상권_수,관측된_원본상권_수,매칭_원본상권명,매칭_주의
기준_년분기_코드	상권_코드_명	임대료	임대료_전년동분기_상승률(%)	일반_점포_수	총_점포_수(유사업종)	개업_점포_수	폐업_점포_수	프랜차이즈_점포_수	개업률_재계산(%)	폐업률_재계산(%)	점포교체율(%)	프랜차이즈비율(%)	폐업률_전년동분기_변화(%p)	점포교체율_전년동분기_변화(%p)	프랜차이즈비율_전년동분기_변화(%p)	예상_원본상권_수	관측된_원본상권_수	매칭_원본상권명	매칭_주의
20244	교대역	43.8		4596	4842	66	71	246	1.3631	1.4663	2.8294	5.0805	-0.4965	-1.4061	0.0186	1	1	교대역(법원.검찰청)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	교대역	44.0		4568	4813	89	115	245	1.8492	2.3894	4.2385	5.0904	0.2850	-0.1147	0.0151	1	1	교대역(법원.검찰청)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	교대역	44.6		4560	4809	84	85	249	1.7467	1.7675	3.5142	5.1778	-0.0031	-0.2329	0.0923	1	1	교대역(법원.검찰청)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	교대역	45.1	3.4404	4547	4792	75	92	245	1.5651	1.9199	3.4850	5.1127	-0.0405	-0.2088	0.0363	1	1	교대역(법원.검찰청)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	교대역	45.3	3.4247	4563	4797	63	55	234	1.3133	1.1465	2.4599	4.8780	-0.3198	-0.3695	-0.2025	1	1	교대역(법원.검찰청)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	교대역	46.1	4.7727													1	0	교대역(법원.검찰청)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	남부터미널			1339	1439	39	29	100	2.7102	2.0153	4.7255	6.9493				1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	남부터미널			1336	1436	33	36	100	2.2981	2.5070	4.8050	6.9638				1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	남부터미널			1334	1435	29	30	101	2.0209	2.0906	4.1115	7.0383				1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	남부터미널			1350	1451	38	22	101	2.6189	1.5162	4.1351	6.9607				1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	남부터미널			1353	1454	26	23	101	1.7882	1.5818	3.3700	6.9464	-0.4334	-1.3555	-0.0029	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	남부터미널			1356	1458	20	16	102	1.3717	1.0974	2.4691	6.9959	-1.4096	-2.3359	0.0321	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	남부터미널			1370	1469	29	18	99	1.9741	1.2253	3.1995	6.7393	-0.8653	-0.9120	-0.2990	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	남부터미널			1375	1478	35	26	103	2.3681	1.7591	4.1272	6.9689	0.2429	-0.0079	0.0082	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	남부터미널			1380	1482	27	23	102	1.8219	1.5520	3.3738	6.8826	-0.0299	0.0038	-0.0638	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	남부터미널			1384	1484	23	21	100	1.5499	1.4151	2.9650	6.7385	0.3177	0.4958	-0.2573	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	남부터미널			1385	1486	31	29	101	2.0861	1.9515	4.0377	6.7968	0.7262	0.8382	0.0575	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	남부터미널			1384	1485	29	30	101	1.9529	2.0202	3.9731	6.8013	0.2611	-0.1541	-0.1675	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	남부터미널			1375	1473	21	33	98	1.4257	2.2403	3.6660	6.6531	0.6884	0.2922	-0.2295	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	남부터미널			1364	1464	24	33	100	1.6393	2.2541	3.8934	6.8306	0.8390	0.9285	0.0921	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	남부터미널	41.9		1357	1455	33	42	98	2.2680	2.8866	5.1546	6.7354	0.9351	1.1170	-0.0614	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	남부터미널	42.0		1354	1455	23	23	101	1.5808	1.5808	3.1615	6.9416	-0.4394	-0.8116	0.1402	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	남부터미널	42.2		1337	1436	16	34	99	1.1142	2.3677	3.4819	6.8942	0.1274	-0.1841	0.2411	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	남부터미널	42.2		1334	1434	19	19	100	1.3250	1.3250	2.6499	6.9735	-0.9291	-1.2435	0.1429	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	남부터미널	42.4	1.1933	1336	1439	23	17	103	1.5983	1.1814	2.7797	7.1577	-1.7052	-2.3749	0.4224	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	남부터미널	43.0	2.3810	1340	1444	23	16	104	1.5928	1.1080	2.7008	7.2022	-0.4727	-0.4607	0.2606	1	1	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	남부터미널	43.9	4.0284													1	0	남부터미널역[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	논현역			1809	1951	60	50	142	3.0753	2.5628	5.6381	7.2783				3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	논현역			1815	1961	73	63	146	3.7226	3.2126	6.9352	7.4452				3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	논현역			1802	1944	46	63	142	2.3663	3.2407	5.6070	7.3045				3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	논현역			1831	1978	92	58	147	4.6512	2.9323	7.5834	7.4317				3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	논현역			1848	1992	48	34	144	2.4096	1.7068	4.1165	7.2289	-0.8560	-1.5217	-0.0494	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	논현역			1855	2001	50	41	146	2.4988	2.0490	4.5477	7.2964	-1.1637	-2.3875	-0.1488	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	논현역			1853	1994	64	71	141	3.2096	3.5607	6.7703	7.0712	0.3199	1.1633	-0.2333	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	논현역			1873	2017	76	53	144	3.7680	2.6277	6.3956	7.1393	-0.3046	-1.1878	-0.2924	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	논현역			1855	1996	39	60	141	1.9539	3.0060	4.9599	7.0641	1.2992	0.8435	-0.1648	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	논현역			1865	2010	63	49	145	3.1343	2.4378	5.5721	7.2139	0.3888	1.0244	-0.0824	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	논현역			1859	2005	56	61	146	2.7930	3.0424	5.8354	7.2818	-0.5183	-0.9349	0.2106	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	논현역			1875	2025	69	49	150	3.4074	2.4198	5.8272	7.4074	-0.2079	-0.5685	0.2681	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	논현역			1863	2012	54	67	149	2.6839	3.3300	6.0139	7.4056	0.3240	1.0540	0.3414	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	논현역			1863	2011	61	62	148	3.0333	3.0830	6.1164	7.3595	0.6452	0.5442	0.1456	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	논현역	67.8		1858	2005	44	50	147	2.1945	2.4938	4.6883	7.3317	-0.5486	-1.1471	0.0499	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	논현역	68.2		1852	1994	35	45	142	1.7553	2.2568	4.0120	7.1214	-0.1630	-1.8151	-0.2860	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	논현역	68.5		1839	1977	39	55	138	1.9727	2.7820	4.7547	6.9803	-0.5480	-1.2592	-0.4253	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	논현역	68.8		1843	1981	52	46	138	2.6249	2.3221	4.9470	6.9662	-0.7610	-1.1694	-0.3933	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	논현역	69.0	1.7699	1832	1965	47	59	133	2.3919	3.0025	5.3944	6.7684	0.5088	0.7061	-0.5632	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	논현역	70.0	2.6393	1830	1960	37	42	130	1.8878	2.1429	4.0306	6.6327	-0.1139	0.0186	-0.4887	3	3	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	논현역	70.1	2.3358													3	0	논현역[발달상권] | 논현역 4번[발달상권] | 논현역 5번[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	도산대로			569	603	13	24	34	2.1559	3.9801	6.1360	5.6385				2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	도산대로			570	606	16	13	36	2.6403	2.1452	4.7855	5.9406				2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	도산대로			572	606	17	17	34	2.8053	2.8053	5.6106	5.6106				2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	도산대로			583	618	24	12	35	3.8835	1.9417	5.8252	5.6634				2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	도산대로			589	622	16	12	33	2.5723	1.9293	4.5016	5.3055	-2.0508	-1.6344	-0.3330	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	도산대로			601	637	24	9	36	3.7677	1.4129	5.1805	5.6515	-0.7323	0.3951	-0.2891	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	도산대로			591	626	13	24	35	2.0767	3.8339	5.9105	5.5911	1.0286	0.3000	-0.0195	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	도산대로			610	647	33	12	37	5.1005	1.8547	6.9552	5.7187	-0.0870	1.1299	0.0553	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	도산대로			612	649	19	17	37	2.9276	2.6194	5.5470	5.7011	0.6902	1.0454	0.3956	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	도산대로			616	653	16	12	37	2.4502	1.8377	4.2879	5.6662	0.4248	-0.8926	0.0147	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	도산대로			608	646	12	19	38	1.8576	2.9412	4.7988	5.8824	-0.8927	-1.1118	0.2913	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	도산대로			615	652	18	12	37	2.7607	1.8405	4.6012	5.6748	-0.0142	-2.3540	-0.0439	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	도산대로			621	657	19	14	36	2.8919	2.1309	5.0228	5.4795	-0.4885	-0.5242	-0.2216	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	도산대로			616	650	10	17	34	1.5385	2.6154	4.1538	5.2308	0.7777	-0.1341	-0.4354	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	도산대로	54.5		617	651	14	13	34	2.1505	1.9969	4.1475	5.2227	-0.9442	-0.6513	-0.6596	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	도산대로	54.7		614	648	12	15	34	1.8519	2.3148	4.1667	5.2469	0.4743	-0.4346	-0.4279	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	도산대로	54.7		606	640	14	23	34	2.1875	3.5937	5.7812	5.3125	1.4629	0.7584	-0.1670	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	도산대로	54.8		604	639	10	10	35	1.5649	1.5649	3.1299	5.4773	-1.0504	-1.0240	0.2465	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	도산대로	55.8	2.3853	601	636	17	20	35	2.6730	3.1447	5.8176	5.5031	1.1477	1.6701	0.2804	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	도산대로	56.0	2.3766	601	637	10	9	36	1.5699	1.4129	2.9827	5.6515	-0.9019	-1.1839	0.4046	2	2	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	도산대로	55.8	2.0110													2	0	도산공원교차로[발달상권] | 도산공원북측[골목상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	신사역			3069	3303	90	97	234	2.7248	2.9367	5.6615	7.0845				2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	신사역			3107	3338	121	86	231	3.6249	2.5764	6.2013	6.9203				2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	신사역			3126	3359	111	90	233	3.3046	2.6794	5.9839	6.9366				2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	신사역			3202	3432	146	73	230	4.2541	2.1270	6.3811	6.7016				2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	신사역			3228	3458	96	70	230	2.7762	2.0243	4.8005	6.6512	-0.9124	-0.8611	-0.4332	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	신사역			3250	3480	98	76	230	2.8161	2.1839	5.0000	6.6092	-0.3925	-1.2013	-0.3111	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	신사역			3272	3503	111	88	231	3.1687	2.5121	5.6808	6.5943	-0.1672	-0.3031	-0.3422	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	신사역			3327	3560	148	91	233	4.1573	2.5562	6.7135	6.5449	0.4291	0.3324	-0.1567	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	신사역			3367	3602	147	105	235	4.0811	2.9150	6.9961	6.5242	0.8908	2.1957	-0.1271	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	신사역			3433	3667	154	89	234	4.1996	2.4271	6.6267	6.3812	0.2431	1.6267	-0.2280	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	신사역			3459	3691	112	88	232	3.0344	2.3842	5.4186	6.2856	-0.1280	-0.2623	-0.3088	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	신사역			3486	3724	132	99	238	3.5446	2.6584	6.2030	6.3910	0.1023	-0.5105	-0.1540	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	신사역			3462	3695	72	101	233	1.9486	2.7334	4.6820	6.3058	-0.1816	-2.3141	-0.2183	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20242	신사역			3463	3696	94	93	233	2.5433	2.5162	5.0595	6.3041	0.0892	-1.5671	-0.0771	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20243	신사역	70.2		3439	3675	99	120	236	2.6939	3.2653	5.9592	6.4218	0.8811	0.5406	0.1362	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20244	신사역	70.4		3422	3651	73	95	229	1.9995	2.6020	4.6015	6.2723	-0.0564	-1.6015	-0.1187	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20251	신사역	70.8		3380	3609	77	119	229	2.1336	3.2973	5.4309	6.3452	0.5639	0.7489	0.0394	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20252	신사역	70.7		3375	3604	77	81	229	2.1365	2.2475	4.3840	6.3541	-0.2687	-0.6755	0.0499	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20253	신사역	70.8	0.8547	3358	3589	81	102	231	2.2569	2.8420	5.0989	6.4363	-0.4233	-0.8603	0.0146	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20254	신사역	73.7	4.6875	3352	3580	62	74	228	1.7318	2.0670	3.7989	6.3687	-0.5350	-0.8026	0.0965	2	2	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20261	신사역	74.1	4.6610													2	0	신사역[발달상권] | 가로수길[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20211	압구정			3123	3353	87	63	230	2.5947	1.8789	4.4736	6.8595				2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20212	압구정			3152	3382	103	74	230	3.0455	2.1881	5.2336	6.8007				2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20213	압구정			3155	3385	98	95	230	2.8951	2.8065	5.7016	6.7947				2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20214	압구정			3225	3451	135	69	226	3.9119	1.9994	5.9113	6.5488				2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20221	압구정			3257	3487	100	64	230	2.8678	1.8354	4.7032	6.5959	-0.0435	0.2296	-0.2636	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20222	압구정			3297	3527	99	59	230	2.8069	1.6728	4.4797	6.5211	-0.5152	-0.7539	-0.2796	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20223	압구정			3301	3534	102	95	233	2.8862	2.6882	5.5744	6.5931	-0.1183	-0.1272	-0.2016	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20224	압구정			3329	3559	116	91	230	3.2593	2.5569	5.8162	6.4625	0.5575	-0.0951	-0.0863	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20231	압구정			3371	3598	140	101	227	3.8911	2.8071	6.6982	6.3091	0.9717	1.9950	-0.2869	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20232	압구정			3405	3635	136	99	230	3.7414	2.7235	6.4649	6.3274	1.0507	1.9852	-0.1938	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20233	압구정			3410	3639	110	106	229	3.0228	2.9129	5.9357	6.2929	0.2247	0.3613	-0.3002	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20234	압구정			3400	3624	86	101	224	2.3731	2.7870	5.1600	6.1810	0.2301	-0.6562	-0.2815	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
20241	압구정			3369	3590	70	104	221	1.9499	2.8969	4.8468	6.1560	0.0898	-1.8514	-0.1531	2	2	압구정역[발달상권] | 압구정로데오역(압구정로데오)[발달상권]	명칭 기반 대표상권 매칭이며 임대료 통계의 공간 경계와 정확히 같지 않을 수 있음
